index,ok,track_id,url,duration_str,duration,title,score,view_count,genre,num_mixes,genre_counts
1,x,gCYcHz2k5x0,https://youtu.be/gCYcHz2k5x0,3:12,192,Martin Garrix - Animals (Official Video),0.3928,"1,610,630,676",Progressive House,7,"[('Progressive House', 4.83), ('House', 1.0), ('Hip Hop', 0.5), ('Trance', 0.33), ('Progressive Trance', 0.33)]"
2,v,kfJQCu-Jbec,https://youtu.be/kfJQCu-Jbec,7:10,430,Jack Master - Bang The Box (Slam Remix),0.2612,"1,026,918",Techno,17,"[('Techno', 11.5), ('Tech House', 4.5), ('House', 0.5)]"
3,v,ok73_lsY1HI,https://youtu.be/ok73_lsY1HI,9:03,543,Slam feat Mr V. - Take You There,0.2469,"660,994",Techno,16,"[('Techno', 12.0), ('Tech House', 3.5), ('House', 0.5)]"
4,v,0EWbonj7f18,https://youtu.be/0EWbonj7f18,3:56,236,DVBBS & Borgeous - TSUNAMI (Original Mix),0.2386,"545,021,785",Progressive House,8,"[('Progressive House', 7.0), ('House', 0.5), ('Progressive Trance', 0.5)]"
5,v,81Gq3qJ0azM,https://youtu.be/81Gq3qJ0azM,6:21,381,Digital & Spirit - Phantom Force,0.2009,"89,145",Drum & Bass,13,"[('Drum & Bass', 13.0)]"
6,v,gmYZV8vZAHk,https://youtu.be/gmYZV8vZAHk,7:09,429,Mark Reeve - Run Back (Original Mix) [DRUMCODE],0.1846,"245,035",Techno,12,"[('Techno', 7.33), ('Tech House', 3.83), ('House', 0.83)]"
7,v,oH2byxPMB28,https://youtu.be/oH2byxPMB28,5:59,359,Digital - Deadline,0.1845,"31,435",Drum & Bass,12,"[('Drum & Bass', 12.0)]"
8,x,2hC5ZmmCldc,https://youtu.be/2hC5ZmmCldc,3:27,207,Ninetoes - Finder (Original),0.1690,"5,610,004",House,11,"[('House', 6.33), ('Tech House', 2.0), ('Progressive House', 1.0), ('Disco', 1.0), ('Deep House', 0.33), ('Vocal House', 0.33)]"
9,v,ALsHox5sYCk,https://youtu.be/ALsHox5sYCk,5:51,351,Joey Beltram - Energy Flash  -  R&S Records Classics,0.1683,"3,118,706",Tech House,11,"[('Tech House', 3.0), ('Techno', 2.0), ('House (Old School)', 1.83), ('House', 1.0), ('Deep Tech House', 1.0), ('Progressive House', 0.5), ('Rave', 0.5), ('Breakbeat', 0.5), ('Deep House', 0.33), ('Disco', 0.33)]"
10,v,KIGXGkzjAoc,https://youtu.be/KIGXGkzjAoc,7:05,425,Bad Company - The Nine,0.1678,"1,223,853",Drum & Bass,11,"[('Drum & Bass', 11.0)]"
