index,ok,track_id,url,duration_str,duration,title,score,view_count,genre,num_mixes,genre_counts,beatport_genre,bpm,key,track_name,artist,length,beatport_url
2.0,v,kfJQCu-Jbec,https://youtu.be/kfJQCu-Jbec,7:10,430,Jack Master - Bang The Box (Slam Remix),0.2612,"1,026,918",Techno,17,"[('Techno', 11.5), ('Tech House', 4.5), ('House', 0.5)]",Techno (Peak Time / Driving),126,G Major,Bang The Box,Slam,7:09,https://www.beatport.com/track/Bang%20The%20Box/8175689
3.0,v,ok73_lsY1HI,https://youtu.be/ok73_lsY1HI,9:03,543,Slam feat Mr V. - Take You There,0.2469,"660,994",Techno,16,"[('Techno', 12.0), ('Tech House', 3.5), ('House', 0.5)]",Techno (Peak Time / Driving),127,G Minor,Take You There,Mr V,9:02,https://www.beatport.com/track/Take%20You%20There/7633955
4.0,v,0EWbonj7f18,https://youtu.be/0EWbonj7f18,3:56,236,DVBBS & Borgeous - TSUNAMI (Original Mix),0.2386,"545,021,785",Progressive House,8,"[('Progressive House', 7.0), ('House', 0.5), ('Progressive Trance', 0.5)]",Mainstage,96,E Minor,Tsunami,DVBBS,3:56,https://www.beatport.com/track/Tsunami/4625703
5.0,v,81Gq3qJ0azM,https://youtu.be/81Gq3qJ0azM,6:21,381,Digital & Spirit - Phantom Force,0.2009,"89,145",Drum & Bass,13,"[('Drum & Bass', 13.0)]",Drum & Bass,123,A Minor,Phantom Force,Digital,6:27,https://www.beatport.com/track/Phantom%20Force/8300052
6.0,v,gmYZV8vZAHk,https://youtu.be/gmYZV8vZAHk,7:09,429,Mark Reeve - Run Back (Original Mix) [DRUMCODE],0.1846,"245,035",Techno,12,"[('Techno', 7.33), ('Tech House', 3.83), ('House', 0.83)]",Techno (Peak Time / Driving),126,Gb Minor,Run Back,Mark Reeve,7:08,https://www.beatport.com/track/Run%20Back/7375728
7.0,v,oH2byxPMB28,https://youtu.be/oH2byxPMB28,5:59,359,Digital - Deadline,0.1845,"31,435",Drum & Bass,12,"[('Drum & Bass', 12.0)]",Drum & Bass,87,Bb Major,Deadline,Digital,5:51,https://www.beatport.com/track/Deadline/9311299
9.0,v,ALsHox5sYCk,https://youtu.be/ALsHox5sYCk,5:51,351,Joey Beltram - Energy Flash  -  R&S Records Classics,0.1683,"3,118,706",Tech House,11,"[('Tech House', 3.0), ('Techno', 2.0), ('House (Old School)', 1.83), ('House', 1.0), ('Deep Tech House', 1.0), ('Progressive House', 0.5), ('Rave', 0.5), ('Breakbeat', 0.5), ('Deep House', 0.33), ('Disco', 0.33)]",Techno (Peak Time / Driving),123,Ab Major,Energy Flash,Joey Beltram,5:53,https://www.beatport.com/track/Energy%20Flash/584794
10.0,v,KIGXGkzjAoc,https://youtu.be/KIGXGkzjAoc,7:05,425,Bad Company - The Nine,0.1678,"1,223,853",Drum & Bass,11,"[('Drum & Bass', 11.0)]",Drum & Bass,131,Bb Minor,The Nine,Bad Company UK,7:06,https://www.beatport.com/track/The%20Nine/5074847
11.0,v,Z8NokNkrlOQ,https://youtu.be/Z8NokNkrlOQ,7:04,424,"Ed Rush, Optical & Fierce - Alien Girl HD",0.1676,"437,428",Drum & Bass,11,"[('Drum & Bass', 10.0), ('Techno', 1.0)]",Drum & Bass,87,Db Minor,Alien Girl,Optical,6:06,https://www.beatport.com/track/Alien%20Girl/6036540
13.0,v,aU6z-pPEmY0,https://youtu.be/aU6z-pPEmY0,8:23,503,Adam Beyer & Bart Skils - Your Mind [Drumcode],0.1528,"11,296,651",Techno,10,"[('Techno', 8.0), ('Tech House', 1.0), ('House', 0.5), ('Progressive House', 0.5)]",Techno (Peak Time / Driving),126,B Minor,Your Mind,Bart Skils,8:22,https://www.beatport.com/track/Your%20Mind/10670339
15.0,v,G8uDFn-8ZXg,https://youtu.be/G8uDFn-8ZXg,7:22,442,Tale Of Us - Silent Space,0.1499,"585,837",Techno,10,"[('Techno', 3.0), ('House', 2.5), ('Tech House', 2.33), ('Deep Tech House', 1.0), ('Deep House', 0.83), ('Minimal', 0.33)]",Techno (Peak Time / Driving),125,D Major,Silent Space,Tale Of Us,7:20,https://www.beatport.com/track/Silent%20Space/7195334
